narr_pos,book,book_short,chapter_order,label,heading_text
148,Words of Radiance,WoR,77,WoR #77,Chapter 61: Obedience
149,Words of Radiance,WoR,78,WoR #78,Chapter 62: The One Who Killed Promises
150,Words of Radiance,WoR,79,WoR #79,Chapter 63: A Burning World
151,Words of Radiance,WoR,80,WoR #80,Chapter 64: Treasures
152,Words of Radiance,WoR,81,WoR #81,Chapter 65: The One Who Deserves It
153,Words of Radiance,WoR,82,WoR #82,Chapter 66: Stormblessings
154,Words of Radiance,WoR,83,WoR #83,Chapter 67: Spit and Bile
155,Words of Radiance,WoR,84,WoR #84,Chapter 68: Bridges
156,Words of Radiance,WoR,85,WoR #85,Chapter 69: Nothing
157,Words of Radiance,WoR,86,WoR #86,Chapter 70: From a Nightmare
158,Words of Radiance,WoR,87,WoR #87,Chapter 71: Vigil
159,Words of Radiance,WoR,88,WoR #88,Chapter 72: Selfish Reasons
160,Words of Radiance,WoR,89,WoR #89,Chapter 73: A Thousand Scurrying Creatures
161,Words of Radiance,WoR,90,WoR #90,Chapter 74: Striding the Storm
162,Words of Radiance,WoR,91,WoR #91,Chapter 75: True Glory
163,Words of Radiance,WoR,92,WoR #92,Interlude I-12
164,Words of Radiance,WoR,94,WoR #94,Interlude I-14
165,Words of Radiance,WoR,96,WoR #96,Chapter 76: The Hidden Blade
166,Words of Radiance,WoR,97,WoR #97,Chapter 77: Trust
167,Words of Radiance,WoR,98,WoR #98,Chapter 78: Contradictions
168,Words of Radiance,WoR,99,WoR #99,Chapter 79: Toward the Center
169,Words of Radiance,WoR,100,WoR #100,Chapter 80: To Fight the Rain
170,Words of Radiance,WoR,101,WoR #101,Chapter 81: The Last Day
171,Words of Radiance,WoR,102,WoR #102,Chapter 82: For Glory Lit
172,Words of Radiance,WoR,103,WoR #103,Chapter 83: Time's Illusion
173,Words of Radiance,WoR,104,WoR #104,Chapter 84: The One Who Saves
174,Words of Radiance,WoR,105,WoR #105,Chapter 85: Swallowed by the Sky
175,Words of Radiance,WoR,106,WoR #106,Chapter 86: Patterns of Light
176,Words of Radiance,WoR,107,WoR #107,Chapter 87: The Riddens
177,Words of Radiance,WoR,108,WoR #108,Chapter 88: The Man Who Owned the Winds
178,Words of Radiance,WoR,109,WoR #109,Chapter 89: The Four
179,Words of Radiance,WoR,110,WoR #110,Epilogue: Art and Expectation
